keyword,intent,facet,mentions_extracted,occurrences_in_text,score
スタジオツアー東京,navigational,施設名,57,45,159
豊島園駅,navigational,アクセス/行き方,25,20,70
アクセス,informational,アクセス/行き方,23,22,68
電車,informational,アクセス/行き方,23,21,67
車,informational,アクセス/行き方,4,54,62
ツアー,transactional,チケット/予約,2,47,51
スタジオツアー東京,navigational,体験/見どころ,1,45,47
移動,informational,アクセス/行き方,10,24,44
タクシー,informational,アクセス/行き方,9,19,37
西武池袋線,informational,アクセス/行き方,12,10,34
車（タクシー）,informational,アクセス/行き方,10,10,30
都営大江戸線,informational,アクセス/行き方,10,7,27
ハリーポッター,informational,体験/見どころ,7,11,25
池袋,navigational,アクセス/行き方,3,18,24
行き方,informational,アクセス/行き方,9,5,23
時間,informational,営業時間/所要時間,2,18,22
料金,commercial,料金/割引,6,9,21
移動手段,informational,アクセス/行き方,7,5,19
東京駅,navigational,地名/駅名,4,10,18
西武池袋線,navigational,アクセス/行き方,4,10,18
最寄駅,informational,アクセス/行き方,6,6,18
専用駐車場,informational,アクセス/行き方,7,4,18
自家用車,informational,アクセス/行き方,7,4,18
徒歩2分,informational,アクセス/行き方,6,5,17
東京駅,navigational,アクセス/行き方,3,10,16
メリット,informational,注意点/ルール,2,11,15
徒歩,informational,アクセス/行き方,3,9,15
チケット購入,transactional,チケット/予約,6,3,15
レンタカー,informational,アクセス/行き方,6,3,15
所要時間,informational,営業時間/所要時間,6,3,15
金額,commercial,料金/割引,6,3,15
東京駅,informational,アクセス/行き方,2,10,14
東京駅から,informational,アクセス/行き方,3,8,14
帰り,informational,アクセス/行き方,4,6,14
荷物,informational,注意点/ルール,4,6,14
最安,commercial,料金/割引,5,4,14
ハリーポッター,navigational,作品名,1,11,13
新宿,navigational,アクセス/行き方,3,7,13
池袋駅,informational,アクセス/行き方,4,5,13
予約,transactional,チケット/予約,4,4,12
行く方法,informational,アクセス/行き方,4,4,12
都営大江戸線,navigational,アクセス/行き方,2,7,11
池袋駅,navigational,アクセス/行き方,3,5,11
タクシー乗り場,informational,アクセス/行き方,4,3,11
最速,informational,アクセス/行き方,4,3,11
混雑,informational,注意点/ルール,4,3,11
チケット,transactional,チケット/予約,2,6,10
最寄駅,navigational,地名/駅名,2,6,10
ハリーポッター としまえん,navigational,施設名,3,4,10
練馬,navigational,アクセス/行き方,3,4,10
乗り換えなし,informational,アクセス/行き方,4,2,10
電車でアクセス,informational,アクセス/行き方,4,2,10
駐車料金,commercial,料金/割引,4,2,10
デメリット,informational,注意点/ルール,2,5,9
池袋駅,navigational,地名/駅名,2,5,9
新宿駅から,informational,アクセス/行き方,3,3,9
豊島線,navigational,アクセス/行き方,3,3,9
NEWT,navigational,サービス名,1,6,8
新宿駅,informational,アクセス/行き方,2,4,8
新宿駅,navigational,地名/駅名,2,4,8
観光,informational,体験/見どころ,2,4,8
徒歩約2分,informational,アクセス/行き方,3,2,8
都営地下鉄大江戸線,navigational,アクセス/行き方,3,2,8
約45分,informational,営業時間/所要時間,1,5,7
購入,transactional,チケット/予約,1,5,7
280円,commercial,料金/割引,2,3,7
スムーズにアクセス,informational,アクセス/行き方,2,3,7
豊島線,informational,アクセス/行き方,2,3,7
ハリーポッターの世界観,informational,体験/見どころ,1,4,6
乗り換え,informational,アクセス/行き方,1,4,6
約50分,informational,営業時間/所要時間,1,4,6
おトクに旅行,commercial,料金/割引,2,2,6
コスパ,commercial,料金/割引,2,2,6
メリット＆デメリット,informational,比較/評価,2,2,6
最速・最安の行き方,informational,アクセス/行き方,2,2,6
羽田空港,informational,アクセス/行き方,2,2,6
観光スポット,informational,施設タイプ,2,2,6
距離,informational,アクセス/行き方,2,2,6
運行本数,informational,営業時間/所要時間,2,2,6
"5,900円",commercial,料金/割引,1,3,5
大きな荷物,informational,注意点/ルール,1,3,5
約30分,informational,営業時間/所要時間,1,3,5
おすすめな人,informational,体験/見どころ,2,1,5
京成成田スカイアクセス線,informational,アクセス/行き方,2,1,5
価格,commercial,料金/割引,2,1,5
値段,commercial,料金/割引,2,1,5
公式サイト,navigational,チケット/予約,2,1,5
六本木,navigational,アクセス/行き方,2,1,5
出発場所,informational,アクセス/行き方,2,1,5
専用の駐車場,informational,アクセス/行き方,2,1,5
帰り方,informational,アクセス/行き方,2,1,5
成田空港,informational,アクセス/行き方,2,1,5
日帰り,informational,体験/見どころ,2,1,5
月島,navigational,アクセス/行き方,2,1,5
東京モノレール,informational,アクセス/行き方,2,1,5
東京都内,navigational,アクセス/行き方,2,1,5
渋谷駅,informational,アクセス/行き方,2,1,5
移動時間,informational,営業時間/所要時間,2,1,5
電車がかなり混雑,informational,注意点/ルール,2,1,5
ＪＲ山手線,informational,アクセス/行き方,2,1,5
190円,commercial,料金/割引,1,2,4
400円,commercial,料金/割引,1,2,4
事前予約,informational,施設利用/予約,1,2,4
手軽にアクセス,informational,アクセス/行き方,1,2,4
最寄駅から徒歩2分,informational,アクセス/行き方,1,2,4
約20分,informational,営業時間/所要時間,1,2,4
羽田空港,navigational,アクセス/行き方,1,2,4
運行本数が多い,informational,アクセス/行き方,1,2,4
エンターテイメント施設,informational,体験/見どころ,1,1,3
エンターテイメント施設,informational,施設の種類,1,1,3
スタジオツアー東京のチケット,transactional,チケット/予約,1,1,3
タクシー配車アプリ,informational,アクセス/行き方,1,1,3
タクシー配車アプリ,transactional,アクセス/行き方,1,1,3
ダイアゴン横丁,informational,体験/見どころ,1,1,3
チケットは売り切れ,informational,チケット/予約,1,1,3
チケットを購入,transactional,チケット/予約,1,1,3
メリット・デメリット,informational,比較/評価,1,1,3
予算,commercial,料金/割引,1,1,3
大広間,informational,体験/見どころ,1,1,3
改札口,informational,アクセス/行き方,1,1,3
改札口,informational,施設情報,1,1,3
料金が高い,informational,料金/割引,1,1,3
新宿から,informational,アクセス/行き方,1,1,3
新宿から豊島園駅,informational,アクセス/行き方,1,1,3
最安で行きたい人,commercial,料金/割引,1,1,3
枠を確保,transactional,チケット/予約,1,1,3
正規代理店,commercial,チケット/予約,1,1,3
正規代理店,navigational,チケット/予約,1,1,3
池袋から,informational,アクセス/行き方,1,1,3
池袋から豊島園駅,informational,アクセス/行き方,1,1,3
滞在時間,informational,営業時間/所要時間,1,1,3
現地でチケットを購入,transactional,チケット/予約,1,1,3
目的地までの時間,informational,営業時間/所要時間,1,1,3
簡単にアクセス,informational,アクセス/行き方,1,1,3
簡単にアクセスできる,informational,アクセス/行き方,1,1,3
約280円,commercial,料金/割引,1,1,3
練馬で乗り換え,informational,アクセス/行き方,1,1,3
肖像画になれるスポット,informational,体験/見どころ,1,1,3
荷物が多い人,informational,アクセス/行き方,1,1,3
