keyword,intent,facet,occurrences_full
スタジオツアー東京,navigational,アクセス/行き方,212
アクセス,informational,アクセス/行き方,88
スタジオツアー東京,navigational,施設情報,83
豊島園駅,navigational,アクセス/行き方,52
行き方,informational,アクセス/行き方,40
スタジオツアー東京のアクセス,informational,アクセス/行き方,20
東京駅から,informational,アクセス/行き方,16
アクセスできる,informational,アクセス/行き方,14
帰り,informational,アクセス/行き方,12
大江戸線,informational,アクセス/行き方,12
駐車場,informational,アクセス/行き方,12
西武線の改札口,informational,アクセス/行き方,10
新宿駅,navigational,アクセス/行き方,8
豊島園駅から,informational,アクセス/行き方,8
スタジオツアー東京に行く方法,informational,アクセス/行き方,8
東京駅,navigational,アクセス/行き方,8
最寄り駅,informational,アクセス/行き方,6
西武線の改札口から,informational,アクセス/行き方,6
金額,informational,料金/割引,6
乗車位置,informational,アクセス/行き方,6
乗車位置から,informational,アクセス/行き方,6
改札口から,informational,アクセス/行き方,5
西武線から,informational,アクセス/行き方,4
最速・最安の行き方,informational,アクセス/行き方,4
駐車料金,informational,料金/割引,4
メリット＆デメリット,informational,注意点/ルール,4
チケット購入の方法,transactional,チケット/予約,4
距離,informational,アクセス/行き方,4
スタジオツアー東京とは,informational,施設概要,4
車で行く,informational,アクセス/行き方,4
都営大江戸線から,informational,アクセス/行き方,4
電車でアクセス,informational,アクセス/行き方,4
メリット＆デメリット,informational,アクセス/行き方,4
豊島園駅から出発,informational,アクセス/行き方,2
車（タクシー）でアクセス,informational,アクセス/行き方,2
電車で移動するメリット,informational,アクセス/行き方,2
空港からのアクセス,informational,アクセス/行き方,2
A2出口から,informational,アクセス/行き方,2
最安・最速の行き方,informational,アクセス/行き方,2
コスパよく早く,informational,アクセス/行き方,2
おすすめスポット,informational,体験/見どころ,2
としまえんへのアクセス,informational,アクセス/行き方,2
最寄駅から徒歩,informational,アクセス/行き方,2
改札口まで,informational,アクセス/行き方,2
徒歩何分,informational,アクセス/行き方,2
帰りは車,informational,アクセス/行き方,2
としまえん跡地,informational,アクセス/行き方,2
事前予約制,transactional,チケット/予約,2
アクセス簡単,informational,アクセス/行き方,2
A2出口まで,informational,アクセス/行き方,1
いつからいつまで,informational,営業時間/所要時間,0
お土産ランキング,commercial,お土産/グッズ,0
限定商品,commercial,お土産/グッズ,0
楽しめるスポット,informational,周辺情報/観光,0
タイで買いたいお土産,commercial,お土産/グッズ,0
買えないお土産,commercial,お土産/グッズ,0
楽しめるスポット,informational,観光/スポット,0
東京で遊べるところ,informational,周辺情報/観光,0
神戸限定のお菓子,commercial,お土産/グッズ,0
神戸でしか買えないお土産,commercial,お土産/グッズ,0
狙い目の時期,informational,営業時間/所要時間,0
横浜駅でしか買えないお土産,commercial,お土産/グッズ,0
大阪・関西万博,navigational,イベント情報,0
